[04:48:27] v10 Exam Suite L07-L15 — 9 lessons
[04:48:27] Model: models/blueprint-lora-v10/final
[04:48:31] Loading model...
[05:15:05] v10 Exam Suite L07-L15 — 9 lessons
[05:15:05] Model: models/blueprint-lora-v10/final
[05:15:08] Loading model...
[05:19:08] Model loaded in 240s
[05:19:08] === [1/9] lesson_07: String Operations and Debug Patterns (20 prompts) ===
[05:19:08]   [1/20] L07_01
[05:19:43]     [OK] score=91% nodes=4 35.6s
[05:19:43]   [2/20] L07_02
[05:20:33]     [OK] score=75% nodes=6 50.0s
[05:20:33]   [3/20] L07_03
[05:21:27]     [OK] score=94% nodes=6 53.1s
[05:21:27]   [4/20] L07_04
[05:21:47]     [OK] score=100% nodes=3 20.0s
[05:21:47]   [5/20] L07_05
[05:22:20]     [OK] score=100% nodes=4 33.0s
[05:22:20]   [6/20] L07_06
[05:22:54]     [OK] score=100% nodes=5 34.6s
[05:22:54]   [7/20] L07_07
[05:23:44]     [OK] score=75% nodes=6 49.5s
[05:23:44]   [8/20] L07_08
[05:24:17]     [OK] score=100% nodes=4 33.4s
[05:24:17]   [9/20] L07_09
[05:25:08]     [OK] score=93% nodes=7 51.4s
[05:25:08]   [10/20] L07_10
[05:25:58]     [OK] score=100% nodes=6 49.4s
[05:25:58]   [11/20] L07_11
[05:26:35]     [OK] score=62% nodes=5 37.6s
[05:26:35]   [12/20] L07_12
[05:27:25]     [OK] score=100% nodes=6 49.3s
[05:27:25]   [13/20] L07_13
[05:27:58]     [OK] score=100% nodes=4 33.7s
[05:27:58]   [14/20] L07_14
[05:28:36]     [OK] score=100% nodes=5 37.9s
[05:28:36]   [15/20] L07_15
[05:29:40]     [OK] score=47% nodes=6 63.7s
[05:29:40]   [16/20] L07_16
[05:30:17]     [OK] score=100% nodes=5 37.4s
[05:30:17]   [17/20] L07_17
[05:30:46]     [OK] score=100% nodes=4 29.0s
[05:30:46]   [18/20] L07_18
[05:31:29]     [OK] score=25% nodes=6 42.3s
[05:31:29]   [19/20] L07_19
[05:32:02]     [OK] score=100% nodes=4 33.5s
[05:32:02]   [20/20] L07_20
[05:32:54]     [OK] score=100% nodes=8 51.9s
[05:32:54]   => lesson_07: syntax=100.0% sim=88.2%
[05:32:54] === [2/9] lesson_08: UI Widgets and HUD Patterns (20 prompts) ===
[05:32:54]   [1/20] L08_01
[05:33:19]     [OK] score=100% nodes=3 24.8s
[05:33:19]   [2/20] L08_02
