[08:41:12] v10 Exam L15 Only
[08:41:14] Loading model...
[08:44:51] Model loaded in 216s
[08:44:51] L15: Corrective Training: Weak Similarity Patterns (20 prompts)
[08:44:51]   [1/20] L15_01
[08:45:43]     [OK] score=94% nodes=7 52.3s
[08:45:43]   [2/20] L15_02
[08:47:02]     [OK] score=85% nodes=10 79.0s
[08:47:02]   [3/20] L15_03
[08:48:07]     [OK] score=59% nodes=7 65.1s
[08:48:07]   [4/20] L15_04
[08:49:22]     [OK] score=100% nodes=9 74.4s
[08:49:22]   [5/20] L15_05
[08:50:10]     [OK] score=100% nodes=7 48.0s
[08:50:10]   [6/20] L15_06
[08:50:52]     [OK] score=100% nodes=6 42.3s
[08:50:52]   [7/20] L15_07
[08:51:39]     [OK] score=100% nodes=7 47.2s
[08:51:39]   [8/20] L15_08
[08:52:18]     [OK] score=100% nodes=6 38.9s
[08:52:18]   [9/20] L15_09
[08:53:25]     [OK] score=100% nodes=9 66.5s
[08:53:25]   [10/20] L15_10
[08:54:50]     [OK] score=100% nodes=11 85.7s
[08:54:50]   [11/20] L15_11
[08:55:51]     [OK] score=95% nodes=8 60.6s
[08:55:51]   [12/20] L15_12
[08:57:15]     [OK] score=96% nodes=11 83.9s
[08:57:15]   [13/20] L15_13
[08:58:05]     [OK] score=94% nodes=7 50.1s
[08:58:05]   [14/20] L15_14
[08:59:14]     [OK] score=96% nodes=10 69.3s
[08:59:14]   [15/20] L15_15
[09:00:32]     [OK] score=92% nodes=11 77.8s
[09:00:32]   [16/20] L15_16
[09:01:37]     [OK] score=100% nodes=9 64.9s
[09:01:37]   [17/20] L15_17
[09:02:22]     [OK] score=100% nodes=6 45.4s
[09:02:22]   [18/20] L15_18
[09:03:24]     [OK] score=100% nodes=8 61.7s
[09:03:24]   [19/20] L15_19
[09:04:16]     [OK] score=100% nodes=7 51.8s
[09:04:16]   [20/20] L15_20
[09:05:43]     [OK] score=100% nodes=11 87.3s
[09:05:43] L15 RESULT: syntax=100.0% sim=95.6%
[09:05:43] Done.
